Building Name,City,Height,Floors,Completion,Material,Use,Country
"Twin Towers Guiyang, West Tower",Guiyang (CN),335,74,2020,composite,hotel / office,China
Shimao International Plaza,Shanghai (CN),333.3,60,2006,concrete,hotel / office / retail,China
Jinan Center Financial City A5-3,Jinan (CN),333,69,2020,composite,hotel / office,China
Minsheng Bank Building,Wuhan (CN),331,68,2008,steel,office,China
China World Tower,Beijing (CN),330,74,2010,composite,hotel / office,China
Yuexiu Fortune Center Tower 1,Wuhan (CN),330,68,2017,composite,office,China
Hon Kwok City Center,Shenzhen (CN),329.4,80,2017,composite,residential / office,China
Zhuhai Tower,Zhuhai (CN),328.8,66,2017,composite,hotel / office,China
Longxi International Hotel,Wuxi (CN),328,72,2011,composite,residential / hotel,China
Wuxi Suning Plaza 1,Wuxi (CN),328,67,2014,composite,hotel / serviced apartments / office,China
Golden Eagle Tiandi Tower B,Nanjing (CN),328,60,2019,composite,office,China
Baoneng Center,Shenzhen (CN),327.3,65,2018,composite,office,China
Deji Plaza,Nanjing (CN),324,62,2013,composite,hotel / office,China
Yantai Shimao No. 1 The Harbour,Yantai (CN),323,59,2017,composite,residential / hotel / office,China
Wenzhou Trade Center,Wenzhou (CN),321.9,68,2011,concrete,hotel / office,China
Guangxi Finance Plaza,Nanning (CN),321,68,2017,composite,hotel / office,China
Nina Tower,Hong Kong (CN),320.4,80,2006,concrete,hotel / office,China
Sinar Mas Center 1,Shanghai (CN),320,65,2017,composite,office,China
Global City Square,Guangzhou (CN),318.9,67,2016,composite,office,China
Jiuzhou International Tower,Nanning (CN),318,71,2017,composite,office,China
Fanya International Finance Building North,Kunming (CN),317.8,67,2016,composite,office,China
Fanya International Finance Building South,Kunming (CN),317.8,66,2016,composite,office,China
Chongqing IFS T1,Chongqing (CN),316.3,63,2016,composite,hotel / office,China
Jumeirah Nanjing Hotel & International Youth Cultural Centre Tower 2,Nanjing (CN),315,67,2015,composite,hotel / office,China
Honglou Times Square,Lanzhou (CN),313,56,2018,composite,hotel / office,China
Shenzhen Bay Innovation and Technology Centre Tower 1,Shenzhen (CN),311.1,69,2020,composite,office,China
Poly Pazhou C2,Guangzhou (CN),311,65,2017,composite,office,China
Moi Center Tower A,Shenyang (CN),311,75,2014,composite,hotel / office,China
Guangxi Wealth Financial Center,Nanning (CN),310.8,70,2019,composite,office,China
Pearl River Tower,Guangzhou (CN),309.4,71,2013,composite,office,China
Fortune Center,Guangzhou (CN),309.4,68,2015,composite,office,China
Guangfa Securities Headquarters,Guangzhou (CN),308,60,2018,composite,office,China
Changsha IFS Tower T2,Changsha (CN),308,63,2018,composite,office,China
East Pacific Center Tower A,Shenzhen (CN),306,85,2013,composite,residential,China
International Trade Center,Zhongshan (CN),305,65,2019,concrete,hotel / office,China
Shenzhen CFC Changfu Centre,Shenzhen (CN),304.3,68,2015,composite,office,China
Wuxi Maoye City - Marriott Hotel,Wuxi (CN),303.8,68,2014,composite,hotel,China
Diwang International Fortune Center,Liuzhou (CN),303,72,2015,composite,office / hotel,China
Greenland Puli Center,Jinan (CN),303,61,2014,composite,office,China
"Jiangxi Nanchang Greenland Central Plaza, Parcel A",Nanchang (CN),303,59,2015,composite,office,China
"Jiangxi Nanchang Greenland Central Plaza, Parcel B",Nanchang (CN),303,59,2015,composite,office,China
Leatop Plaza,Guangzhou (CN),302.7,64,2012,composite,office,China
Gate to the East,Suzhou (CN),301.8,66,2015,composite,residential / hotel / office,China
Shenzhen Zhongzhou Holdings Financial Center,Shenzhen (CN),300.8,61,2015,composite,hotel / office,China
Huachuang International Plaza Tower 1,Changsha (CN),300,66,2017,composite,hotel / office,China
OCT Tower,Shenzhen (CN),300,60,2020,composite,office,China
Golden Eagle Tiandi Tower C,Nanjing (CN),300,58,2019,composite,office,China
ICC Thang Long Global Center,Fuzhou (CN),300,57,2019,composite,office,China
Jin Wan Plaza 9,Tianjin (CN),299.7,66,2017,composite,hotel / office,China
Shum Yip Upperhills Tower 2,Shenzhen (CN),299.3,62,2017,composite,office,China
One Island East,Hong Kong (CN),298.1,68,2008,concrete,office,China
R&F Yingkai Square,Guangzhou (CN),296.2,66,2014,composite,residential / hotel / office,China
China World Trade Center Phase 3B,Beijing (CN),295.6,59,2017,composite,hotel / office,China
Xiamen Shimao Straits Tower B,Xiamen (CN),295.3,67,2015,composite,office,China
Shimao Qianhai Center,Shenzhen (CN),294.3,62,2020,composite,office,China
Riverfront Times Square,Shenzhen (CN),293,64,2016,composite,hotel / office,China
SEG Plaza,Shenzhen (CN),291.6,71,2000,concrete,office,China
Concord International Centre,Chongqing (CN),290,64,2017,composite,hotel / office / retail,China
Powerlong Center Tower 1,Tianjin (CN),289.9,59,2019,composite,office,China
Dongguan TBA Tower,Dongguan (CN),289,68,2013,composite,hotel / office,China
China Chuneng Tower,Shenzhen (CN),288.6,62,2016,composite,office,China
Plaza 66,Shanghai (CN),288.2,66,2001,concrete,office,China
Kaisa Center,Huizhou (CN),288,66,2015,concrete,hotel / office,China
Yingli International Finance Centre,Chongqing (CN),288,58,2012,concrete,office,China
Shaoxing Shimao Crowne Plaza,Shaoxing (CN),288,55,2012,composite,hotel / office,China
Soochow International Plaza East Tower,Huzhou (CN),288,50,2014,composite,hotel / office,China
Soochow International Plaza West Tower,Huzhou (CN),288,50,2014,composite,residential,China
United International Mansion,Chongqing (CN),287,67,2013,concrete,office,China
HNA&POLY International Centre,Chongqing (CN),286.8,61,2013,concrete,office / hotel / retail,China
Huaxun Center,Shenzhen (CN),286,70,2018,concrete,office,China
Ping An Finance Center South,Shenzhen (CN),286,51,2019,composite,hotel / office,China
Tomorrow Square,Shanghai (CN),284.6,60,2003,concrete,residential / hotel / office,China
Greenland Zhengzhou Central Plaza South Tower,Zhengzhou (CN),283.9,63,2017,composite,office,China
Zhengzhou Greenland Central Plaza North Tower,Zhengzhou (CN),283.9,63,2017,composite,office,China
One Excellence Tower 1,Shenzhen (CN),283.8,62,2019,composite,office,China
Chongqing World Trade Center,Chongqing (CN),283.1,60,2005,concrete,office,China
Cheung Kong Centre,Hong Kong (CN),282.8,63,1999,steel,office,China
GT Land Landmark Plaza South Tower,Guangzhou (CN),282.8,47,2016,composite,residential / hotel,China
Suzhou RunHua Global Building A,Suzhou (CN),282,49,2010,composite,office,China
Lanzhou City Plaza Building 1,Lanzhou (CN),280.5,60,2018,composite,hotel / office,China
China Resources Center 2,Hefei (CN),280,65,2017,concrete,office / hotel,China
Excellence Century Plaza Tower 1,Shenzhen (CN),280,60,2010,composite,office,China
Qiantan Center,Shanghai (CN),280,56,2020,composite,office / hotel,China
Zhengzhou Greenland Plaza,Zhengzhou (CN),280,56,2014,composite,hotel / office,China
Bodi Center Tower C,Hangzhou (CN),279.7,57,2017,composite,office,China
Eton Place Dalian Tower 2,Dalian (CN),279.5,62,2015,composite,residential / office,China
Hong Kong New World Tower,Shanghai (CN),278.3,59,2004,composite,hotel / office / retail,China
Logan International Headquarters Tower 1,Nanning (CN),278,58,2018,steel/concrete,office,China
Fortune Jinmao Tower A,Lanzhou (CN),278,57,2020,composite,residential / hotel / office / retail,China
Guizhou Park Office Tower,Guiyang (CN),276,55,2019,composite,office / retail,China
Diwang International Commerce Center,Nanning (CN),276,54,2006,concrete,hotel / office,China
Tianyue Xinchen Tower 1,Wuhan (CN),275.3,43,2018,composite,office,China
Riverside Century Plaza Main Tower,Wuhu (CN),275,66,2015,composite,hotel / office,China
Guiyang International Financial Center T2,Guiyang (CN),275,54,2020,composite,office,China
Shanghai SK Group Tower,Shanghai (CN),275,59,2019,composite,office,China
Nantong Zhongnan International Plaza,Nantong (CN),273.3,53,2011,steel/concrete,residential / office,China
Wuhan World Trade Tower,Wuhan (CN),273,60,1998,,office,China
Shenzhen Bay Ecocity B-Tech Tower 1,Shenzhen (CN),273,58,2018,composite,hotel / office,China
NEO Tower A,Shenzhen (CN),273,56,2011,concrete,office,China
Shimao International Center Office Tower,Fuzhou (CN),273,56,2013,composite,office,China
Victoria Dockside,Hong Kong (CN),272.5,66,2017,concrete,serviced apartments / hotel / office,China
Central Financial Street Tower,Nanchang (CN),272,58,2018,concrete,office,China
Commercial Union Centre 1,Nanchang (CN),272,58,2020,composite,hotel / office,China
Commercial Union Centre 2,Nanchang (CN),272,57,2020,composite,office,China
Taipei Nan Shan Plaza,Taipei (CN),272,46,2018,composite,office,China
Shanghai Wheelock Square,Shanghai (CN),270.5,55,2010,concrete,office,China
Tianhui Plaza C3,Guangzhou (CN),270,60,2016,composite,office,China
Greenland Center Tower 1,Xi’an (CN),270,57,2016,composite,office,China
Greenland Center Tower 2,Xi’an (CN),270,57,2018,composite,office,China
Bohai Bank Tower,Tianjin (CN),270,55,2015,composite,office,China
The Cullinan I,Hong Kong (CN),269.9,68,2008,concrete,residential,China
The Cullinan II,Hong Kong (CN),269.9,68,2008,concrete,residential / hotel,China
R&F Riverside New City - Ritz-Carlton Hotel,Harbin (CN),269.9,56,2020,composite,hotel,China
China International Center Tower B,Guangzhou (CN),269.5,62,2007,concrete,office,China
Dapeng International Plaza,Guangzhou (CN),269.4,56,2007,composite,office,China
One Lujiazui,Shanghai (CN),269.1,47,2008,concrete,office,China
Tongde Kunming Plaza,Kunming (CN),269,54,2015,composite,hotel / office,China
Shenzhen Metro Che Kung Temple Hub,Shenzhen (CN),268.8,55,2019,composite,office,China
Farglory The One,Kaohsiung (CN),268,68,2019,steel,residential / hotel,China
Victoria Square 1,Dalian (CN),268,68,2018,composite,office,China
Victoria Square 2,Dalian (CN),268,68,2018,composite,office,China
Suzhou Center,Suzhou (CN),268,52,2013,concrete,hotel / office,China
Jiangxi Nanchang Greenland Zifeng Tower,Nanchang (CN),268,56,2015,composite,hotel / office,China
Bank of Guangzhou Tower,Guangzhou (CN),267.8,57,2012,concrete,office,China
Fortune Financial Center,Beijing (CN),267,60,2014,composite,office,China
Taiyuan Cinda IFC,Taiyuan (CN),266.1,55,2019,composite,office,China
Suning Plaza Tower A,Xuzhou (CN),266,62,2017,composite,hotel / serviced apartments / office,China
Changzhou Modern Media Center,Changzhou (CN),265.1,58,2013,composite,residential / hotel / office,China
Hongren Fortune Center,Wuhan (CN),264.7,47,2016,composite,office,China
PTJ International Finance Center,Wuhan (CN),264,56,2014,composite,hotel / office,China
Star Harbor International Centre East Tower,Shanghai (CN),263,50,2018,composite,hotel / office,China
Star Harbor International Centre West Tower,Shanghai (CN),263,50,2018,composite,hotel / office,China
Phase IV Grand Hyatt & Super Office Tower,Changsha (CN),263,60,2016,composite,hotel / office,China
Financial Street Heping Center,Tianjin (CN),263,47,2016,composite,office,China
Ningbo Global Shipping Plaza,Ningbo (CN),262.4,52,2015,composite,office,China
Vanke Chang'an Center Building 8,Dongguan (CN),262,59,2017,composite,office,China
Oriental Plaza T1,Chongqing (CN),262,56,2016,concrete,hotel / office / retail,China
Xinglin Bay Business Tower,Xiamen (CN),261.9,54,2016,composite,office,China
66 Tower 1,Shanghai (CN),261.8,54,2005,concrete,office,China
66 Tower 2,Shanghai (CN),261.8,54,2005,concrete,office,China
East Pacific Center Tower B,Shenzhen (CN),261,72,2013,composite,residential,China
Bojin Business Plaza Tower 1,Shenzhen (CN),260.9,53,2019,composite,office,China
Guangdong Telecom Plaza,Guangzhou (CN),260,68,2002,concrete,office,China
SunnyWorld Center,Shenyang (CN),260,59,2014,concrete,hotel / office,China
Jing An Kerry Centre Tower 2,Shanghai (CN),260,58,2013,composite,hotel / office,China
Samsung China Headquarters,Beijing (CN),260,57,2018,composite,office,China
Yuyang Tower,Fuzhou (CN),260,56,2014,composite,office,China
Beijing Greenland Center,Beijing (CN),260,55,2016,composite,residential / office,China
Landmark Tower,Haikou (CN),260,51,2020,composite,hotel / office,China
Shenzhen Special Zone Daily Tower,Shenzhen (CN),260,42,1998,concrete,office,China
Shanghai IFC North Tower,Shanghai (CN),259.9,56,2010,composite,office,China
OCT One,Shenzhen (CN),259,57,2019,,residential / office,China
China Resources Center,Jinan (CN),258.8,59,2019,concrete,office,China
Dijing Park Tower 1,Xiamen (CN),258,62,2019,steel,residential,China
Dijing Park Tower 2,Xiamen (CN),258,62,2019,steel,residential,China
Dijing Park Tower 3,Xiamen (CN),258,62,2019,steel,residential,China
Lanko Grand Hyatt Hotel,Chongqing (CN),258,60,2005,concrete,hotel / retail,China
Heilan Fortune Center,Wuxi (CN),258,59,2015,composite,office,China
Huide Tower,Shenzhen (CN),258,58,2019,composite,office / hotel,China
Lanko Conference & Exhibition International Plaza Yage,Chongqing (CN),258,54,2010,concrete,office / retail,China
The Metropolitan Office Tower,Tianjin (CN),258,53,2013,composite,office,China
Zhe Jiang Fortune Financial Center - Tower 1,Hangzhou (CN),258,52,2011,composite,office,China
Grand Parkray Hangzhou Hotel Tower 1,Hangzhou (CN),258,50,2013,composite,hotel,China
Grand Lisboa,Macau (CN),258,48,2008,steel/concrete,hotel / casino,China
The Masterpiece,Hong Kong (CN),257,64,2009,concrete,residential / hotel,China
Raffles City Hangzhou Tower 2,Hangzhou (CN),256.5,59,2017,composite,residential / hotel / office / retail,China
Sorrento 1,Hong Kong (CN),256.4,75,2003,concrete,residential,China
Raffles City Hangzhou Tower 1,Hangzhou (CN),256.3,61,2017,concrete,SOHO / serviced apartments / office / retail,China
CITIC Ruibo Tower 1,Shanghai (CN),256,55,2017,composite,office,China
Corporate Avenue 2,Chongqing (CN),255.8,47,2014,composite,office,China
Raffles City Chongqing T5,Chongqing (CN),255.6,58,2019,composite,residential / retail,China
Raffles City Chongqing T2,Chongqing (CN),255.6,57,2019,composite,residential / retail,China
Raffles City Chongqing T4S,Chongqing (CN),255.6,51,2019,composite,hotel / office / retail,China
Raffles City Chongqing T3S,Chongqing (CN),255.6,48,2019,composite,office / retail,China
New Century Plaza Tower 1,Nanjing (CN),255.2,48,2006,concrete,office,China
Langham Place Office Tower,Hong Kong (CN),255.1,59,2004,concrete,office,China
Jumeirah Nanjing Hotel & International Youth Cultural Centre Tower 1,Nanjing (CN),255,61,2015,composite,serviced apartments / hotel,China
Wenzhou Zhixin Plaza,Wenzhou (CN),255,53,2016,concrete,hotel / office,China
Shenzhen AVIC Plaza,Shenzhen (CN),254,52,2012,composite,office,China
Wongtee Plaza,Shenzhen (CN),253.6,65,2016,composite,office,China
Chengjieyi Center,Huizhou (CN),253,54,2015,composite,residential / office,China
Poly International Center,Liuzhou (CN),252.8,53,2018,concrete,hotel / office,China
R&F International Business Center Phase 2,Guangzhou (CN),252.6,53,2016,composite,office,China
Highcliff,Hong Kong (CN),252.3,73,2003,concrete,residential,China
Golden Eagle Plaza,Suzhou (CN),252,55,2016,composite,multiple,China
Bank of Shanghai Headquarters Building,Shanghai (CN),252,46,2005,composite,office,China
The Harbourside,Hong Kong (CN),251.2,73,2003,concrete,residential,China
Jiali Plaza,Wuhan (CN),251,57,1997,concrete,office,China
5 Taian Dao,Tianjin (CN),250.8,45,2015,composite,office,China
Hunter Douglas International Plaza,Guiyang (CN),250.3,59,2015,composite,hotel / office,China
UCC Huanyu Huijin Center Tower 1,Dongguan (CN),250,58,2020,composite,office,China
Excellence Century Plaza Tower 2,Shenzhen (CN),250,57,2010,composite,hotel / office,China
Bravo Park Place,Guangzhou (CN),250,55,2016,composite,office / hotel,China
South China International Wharf Service Center,Guangzhou (CN),250,55,2018,composite,office,China
HKRI Centre One,Shanghai (CN),250,51,2016,composite,office,China
Fusheng Qianlong Plaza,Fuzhou (CN),250,50,2016,composite,office,China
Center 66 Office 1,Wuxi (CN),250,44,2014,composite,office / retail,China
Beijing Yintai Centre - Park Tower,Beijing (CN),250,63,2008,steel,residential / hotel,China
Lianyungang Lu 66,Qingdao (CN),250,56,2018,composite,office,China
Xiamen Shimao Straits Tower A,Xiamen (CN),249.9,59,2015,composite,residential / hotel / office,China
Shanghai IFC South Tower,Shanghai (CN),249.9,48,2009,composite,hotel / office,China
Haihang International Plaza Tower A,Haikou (CN),249.8,54,2014,composite,hotel / office,China
Xinjiekou Department Store Phase 2,Nanjing (CN),249,60,2009,composite,office,China
China Merchants Bank Tower,Shenzhen (CN),249,53,2001,steel,office,China
Yunfu Tower,Wuxi (CN),249,53,2015,composite,office,China
Shenzhen University Subway Station Tower,Shenzhen (CN),249,51,2017,composite,hotel / office,China
One Museum Place,Shanghai (CN),248.9,54,2018,composite,office,China
Yunda Central Plaza - St. Regis Hotel,Changsha (CN),248.8,63,2016,composite,hotel,China
Xinyue Tiandi,Huizhou (CN),248.3,55,2019,concrete,office,China
Poly Business Center Office Tower,Foshan (CN),248,55,2016,composite,office,China
RunHua International Building,Wuxi (CN),248,55,2009,concrete,residential / hotel / office,China
Hongdou International Plaza,Wuxi (CN),248,45,2009,concrete,residential / office,China
Hangzhou Telecom Mansion,Hangzhou (CN),248,41,2003,concrete,office,China
Shenzhen Bay Innovation and Technology Centre Tower 2,Shenzhen (CN),247.2,53,2020,composite,office,China
Jia Fa Centre,Chongqing (CN),247.2,52,2015,concrete,hotel / office / retail,China
Chengdu International Finance Square Tower 1,Chengdu (CN),247,50,2014,composite,office,China
Chengdu International Finance Square Tower 2,Chengdu (CN),247,50,2014,composite,office,China
Ningbo Bank of China Headquarters,Ningbo (CN),246.2,50,2016,composite,office,China
Shangbang Leasing Tower,Tianjin (CN),246,54,2016,composite,office,China
Kaiyuan Finance Center,Shijiazhuang (CN),246,52,2012,composite,hotel / office,China
Wanda Zun B,Wuhan (CN),245.8,58,2018,concrete,office,China
Shenzhen Stock Exchange,Shenzhen (CN),245.8,46,2013,composite,office,China
Tencent Seafront Tower 1,Shenzhen (CN),245.8,50,2017,composite,office,China
Forebase Financial Plaza,Chongqing (CN),245.3,54,2014,concrete,hotel / office,China
Longemont Asia Pacific Center Tower A,Shenyang (CN),245.2,56,2013,concrete,office,China
Longemont Asia Pacific Center Tower B,Shenyang (CN),245.2,56,2013,concrete,office,China
Shenzhen Bay Ecocity B-Tech Tower 2,Shenzhen (CN),245,54,2018,composite,office,China
Anhui New Broadcasting & TV Center,Hefei (CN),245,46,2013,composite,office,China
Global Harbor North Tower,Shanghai (CN),245,45,2014,concrete,serviced apartments / office / retail,China
Global Harbor South Tower,Shanghai (CN),245,45,2014,concrete,office / residential / hotel / retail,China
Shin Kong Life Tower,Taipei (CN),244.8,51,1993,steel,office,China
Vanke Yun City,Shenzhen (CN),243.8,56,2019,composite,office,China
Yixing Dongjiu Tower,Yixing (CN),243.8,56,2012,composite,hotel / office,China
R&F Center,Guangzhou (CN),243,54,2007,concrete,office,China
Changjiang Media Tower,Wuhan (CN),243,49,2017,composite,office,China
Dalian Futures Square 1,Dalian (CN),242.8,53,2010,composite,office,China
Dalian Futures Square 2,Dalian (CN),242.8,53,2010,composite,office,China
Neo China Top City A1,Chongqing (CN),242.4,54,2009,concrete,hotel / office / retail,China
Asia Pacific Tower & Jinling Hotel,Nanjing (CN),242,57,2014,composite,hotel / office,China
Binhu Times Square,Hefei (CN),242,54,2018,composite,residential / hotel / office,China
Jiangyin Chengxing Square,Wuxi (CN),242,51,2019,composite,hotel,China
Dalian World Trade Center,Dalian (CN),242,50,2000,steel,office,China
Maxdo Centre,Shanghai (CN),241.3,55,2002,,office,China
Western International Finance Center Conrad Hotel,Chengdu (CN),241,56,2015,composite,hotel,China
Bank of China Mansion,Qingdao (CN),241,54,1999,,office,China
Shenzhen Broadcasting Center I,Shenzhen (CN),240.7,48,2001,,office,China
Lee Garden One,Hong Kong (CN),240.4,50,1998,composite,office,China
Jin Wan Plaza 2,Tianjin (CN),240,58,2015,composite,office,China
Panglin Plaza,Shenzhen (CN),240,57,2000,,hotel / office,China
Sandy Federal Tower,Fuzhou (CN),240,55,2017,composite,hotel / office,China
Suzhou RunHua Global Building B,Suzhou (CN),240,54,2010,composite,residential,China
Greatwall Tower 1,Wuhan (CN),240,40,2015,concrete,office,China
Tianjin Junlin Tianxia Building,Tianjin (CN),239,64,2010,concrete,residential / hotel,China
International Finance Center,Nanchang (CN),239,48,2011,concrete,office,China
Yowe Center,Kunming (CN),239,47,2018,concrete,office,China
Beijing Television Center,Beijing (CN),239,42,2006,steel,office,China
Anhui International Trade Center Tower 1,Hefei (CN),238.8,57,2013,composite,office,China
Xinhua International Building,Chongqing (CN),238.6,53,2011,concrete,office / retail,China
Tsingdao Center Tower A,Qingdao (CN),238.3,51,2014,composite,office,China
Tsingdao Center Tower B,Qingdao (CN),238.3,51,2014,composite,serviced apartments / hotel,China
Qingdao Agora,Qingdao (CN),238.3,52,2011,composite,office,China
Cloud Nine,Shanghai (CN),238,58,2006,,hotel / office,China
Hunan Daily Media Center,Changsha (CN),238,54,2017,concrete,office,China
Xi`an Center,Xi’an (CN),238,54,2016,composite,office,China
New World Center,Shenzhen (CN),238,53,2006,concrete,office,China
Perfect Golden Eagle Square,Zhongshan (CN),238,53,2019,concrete,office,China
CITIC Ruibo Tower 2,Shanghai (CN),238,52,2017,composite,office,China
Jinmao International Plaza Tower 1,Changsha (CN),238,51,2017,composite,office,China
Tianjin Xinda Plaza,Tianjin (CN),238,51,2004,concrete,residential / office,China
Z14 Plot Tower 1,Beijing (CN),238,48,2018,composite,office,China
Z14 Plot Tower 2,Beijing (CN),238,48,2018,composite,office,China
Excellence Century Center Tower 1,Qingdao (CN),237.3,57,2016,composite,office,China
Wuhan International Financial Plaza,Wuhan (CN),237,51,2017,composite,office,China
ASE Center R3,Chongqing (CN),236.8,69,2016,concrete,residential / retail,China
Jinmao International Plaza Tower 2,Changsha (CN),236.8,52,2017,composite,office,China
SunnyWorld Center Main Tower,Nanchang (CN),236,53,2014,composite,office,China
Future International,Chongqing (CN),236,50,2007,concrete,office / retail,China
Atlantis Hotel Sanya,Sanya (CN),236,48,2018,concrete,hotel,China
Louvre International Furniture Headquarters Building,Foshan (CN),236,43,2014,concrete,office,China
Sorrento 2,Hong Kong (CN),235.7,66,2003,concrete,residential,China
EPH Headquarters,Zhengzhou (CN),235.3,32,2012,composite,office,China
Huamin Emperor Hotel,Shanghai (CN),235.1,60,2013,composite,hotel / office,China
Poly Nanhu Plaza 1,Changsha (CN),235,57,2015,composite,office,China
Tianjin International Trade Tower 1,Tianjin (CN),235,57,2014,steel,serviced apartments / retail,China
Changsha Xinhe Delta Office,Changsha (CN),235,47,2014,composite,office,China
Strait Pearl Plaza,Xiamen (CN),234.6,50,2017,composite,office,China
Raffles City Chongqing T1,Chongqing (CN),234.5,58,2019,composite,residential / retail,China
Raffles City Chongqing T6,Chongqing (CN),234.5,58,2019,composite,residential / retail,China
CCTV Headquarters,Beijing (CN),234,54,2012,composite,office,China
The Hermitage 1-3,Hong Kong (CN),233.8,62,2011,concrete,residential,China
Maotai International Business Center 1,Guiyang (CN),233.6,49,2019,concrete,office,China
Guangzhou Fuli Dongshan Xintiandi,Guangzhou (CN),233,52,2017,,office,China
Harbourfront Landmark,Hong Kong (CN),232.6,69,2003,concrete,residential,China
International Ocean Shipping Building,Shanghai (CN),232.4,50,2000,,hotel / office,China
Shuibei Jewelry Headquarters Tower A,Shenzhen (CN),232.3,48,2018,composite,office,China
Suzhou Xindi Center,Suzhou (CN),232,54,2005,concrete,residential / hotel / office,China
Xindi Center,Nanjing (CN),232,53,2009,concrete,office,China
China Merchants Financial Center,Nanjing (CN),232,51,2007,concrete,office,China
CASC International Center North Tower,Shenzhen (CN),232,50,2015,composite,office,China
1818 Center,Wuhan (CN),232,42,2015,concrete,residential / office / retail,China
Hangyang Sino Plaza 1,Nanning (CN),231.7,53,2018,composite,office / retail,China
Hangyang Sino Plaza 3,Nanning (CN),231.7,53,2018,composite,office / retail,China
Ligao International,Nanchang (CN),231.5,42,2014,concrete,office,China
Kingtown International Center,Nanjing (CN),231.2,56,2014,composite,hotel / office,China
The Arch,Hong Kong (CN),231,65,2005,concrete,residential,China
Sankee Plaza,Nanning (CN),231,50,2014,composite,office,China
China Resources Dachong Redevelopment Tower 1,Shenzhen (CN),231,-,2018,concrete,office,China
Tsinghua University Campus - Z1 Lot,Beijing (CN),230.9,51,2018,composite,office / education,China
Lihe Tower,Shenzhen (CN),230.9,48,2017,composite,office,China
UpperHills North Tower 1A,Shenzhen (CN),230.4,62,2015,concrete,residential,China
UpperHills North Tower 2A,Shenzhen (CN),230.4,62,2015,concrete,residential,China
BOCOM Financial Towers,Shanghai (CN),230.4,50,1999,concrete,office,China
